"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
3.01471763090887,5.4,-0.86,0.27,-10.7,0.092,23,398,0.98527,5.02,0.64,12.3,-1,1.79175946922805,2
3.62188647124795,12.4,0.385,-0.76,-19.7,1.169,-37,68,0.99048,3.37,1.09,16,0,1.79175946922805,2
1.73833166613537,7.2,1.75,0.17,-33,0.065,9,76,1.04641,4.61,0.68,8.55,0,2.07944154167984,1
1.5069645031215,6.2,0.1,1.8,1,-0.179,104,89,0.98877,3.2,2.11,12.3,-1,2.07944154167984,1
1.67687221537451,11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,-0.07,4.8,0,2.30258509299405,1
5.66378294897982,17.6,0.04,-1.15,1.4,0.535,-250,140,0.95028,3.06,-0.02,11.4,1,2.07944154167984,4
3.38434741412725,15.5,0.53,-0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,2.484906649788,3
5.17447554246722,15.9,1.19,1.14,31.9,-0.299,115,381,1.03416,2.99,0.31,11.4,1,1.94591014905531,3
1.5408056303587,11.6,0.32,0.55,-50.9,0.076,35,83,1.0002,3.32,2.18,-0.5,0,2.484906649788,1
4.28162819726001,3.8,0.22,0.31,-7.7,0.039,40,129,0.9061,4.72,-0.64,10.9,0,1.94591014905531,3
1.80120009381714,6.8,1.68,0.44,-13.3,0.046,-49,583,1.00833,2.63,1.64,12.6,0,2.07944154167984,1
4.02662539380353,9,-0.21,0.04,51.4,0.237,-213,-527,0.99516,3.16,0.7,14.7,1,2.30258509299405,2
3.34491811868847,24.6,0.03,-1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,2.19722457733622,2
3.37670826306467,13,0.21,0.32,-3.2,-0.263,111,141,0.95918,3.2,-0.78,4.2,0,2.07944154167984,2
1.48870807713739,17.9,-0.42,-0.91,7.1,0.045,-177,169,0.95307,3.17,-1.12,13.2,-1,2.19722457733622,1
2.5443852570521,10,0.2,1.27,30.9,0.05,19,152,0.994,2.63,0.42,13.8,-1,2.39789527279837,2
1.52045232317401,7.4,0.29,0.5,8.5,-0.48,178,647,0.97275,3.45,0.5,10.2,-1,2.07944154167984,1
1.8820030844815,11.7,1.18,-0.94,-62,0.675,7,-393,0.99974,3.96,0.69,5.2,1,2.56494935746154,1
3.50094150898265,9.7,0.41,-1,20.8,-0.235,24,113,0.99772,3.44,0.53,9.8,0,1.94591014905531,2
5.75668106354473,-5.2,-0.98,-0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,1.6094379124341,3
2.17379265737586,7.3,0.19,0.49,-35.55,0.38,-75,343,0.9998,3.42,0.36,13.3,-2,2.07944154167984,2
1.94272225867857,6.7,-0.78,0.31,16.4,-0.03,20,-16,0.99834,3.11,-0.57,9.1,0,1.94591014905531,1
6.18121855689452,4.1,0.54,-0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,2.07944154167984,3
1.51372465276153,6.5,1.53,0.84,-14.4,0.047,54,184,0.9461,3.17,-0.56,9.2,-1,1.94591014905531,1
3.3848215842325,11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,1.94591014905531,2
5.69815585252738,-5,0.16,0.78,1.4,-0.898,10,67,0.94608,2.5,0.41,9.4,2,1.94591014905531,2
2.64885245225653,8.3,0.26,1.93,-12.7,0.042,41,479,0.99869,3.1,1.66,12,-1,2.19722457733622,2
6.05526880333496,3.3,0.23,-1.39,1.8,0.043,-183,69,0.9933,3.38,0.31,10.8,1,1.79175946922805,4
4.57858503216266,8.7,0.3,0.3,-4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,2.07944154167984,4
1.46698364495501,1.2,1.01,0.32,55.6,0.038,-345,277,0.99074,4.29,-1.02,9,-1,1.94591014905531,1
4.15643415583413,7,0.21,0.49,16.5,-0.066,400,-239,0.95914,3.29,-0.63,10.8,0,2.07944154167984,3
2.22667173107571,7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,2.07944154167984,1
4.22869057573744,-5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,1.94591014905531,3
1.97266856052622,-3.9,0.74,-0.95,11.7,0.4,293,185,0.99266,3.28,-2.01,16.4,0,1.94591014905531,1
1.44527219912829,8,-0.41,0.57,10.4,0.585,176,134,0.98409,3.12,-0.35,10.7,-1,2.19722457733622,1
3.5293777500992,6.7,0.14,0.49,1.4,-0.233,6,-77,1.01696,2.92,0.42,10.8,0,1.94591014905531,2
2.35009878356034,6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,1.94591014905531,1
3.43623435784392,6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,1.94591014905531,3
3.95171599969175,5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,1.79175946922805,4
4.91159480065947,7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,2.19722457733622,3
1.54507544273451,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,1.94591014905531,1
3.95225122362034,1.2,0.3,0.21,-27.85,0.041,33,153,0.99244,3.96,1.06,9.2,0,2.07944154167984,3
3.83563185227956,8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,2.19722457733622,3
1.75871676589842,8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,2.19722457733622,1
1.98296212814423,6.8,1.36,0.3,20.7,0.043,-263,534,1.03284,3.17,0.46,24.4,0,1.94591014905531,1
3.72587965941784,14.3,0.32,0.25,-2.3,0.013,13,349,0.9957,4.65,-1.19,12.2,0,1.79175946922805,2
1.95835531269712,6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,1.94591014905531,1
4.40427303541693,-4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,1.79175946922805,2
4.0813228831659,28.3,0.645,0.03,-7.9,0.086,195,39,0.9969,2.93,-0.53,11.6,0,2.07944154167984,3
1.77007361079084,4.7,0.98,0.35,24.7,0.235,11,-9,0.9926,2.19,0.38,12.4,0,2.19722457733622,1
3.5163410432573,5.8,0.21,0.25,-50.5,0.038,-33,-135,0.96472,3.28,0.49,9.4,0,1.94591014905531,2
3.86084734998046,8.9,0.33,-0.5,61.55,0.038,-234,138,0.96369,3.03,0.09,5.7,0,2.07944154167984,3
4.03973205979383,10.6,-1.02,-0.61,1.1,-0.422,-25,107,0.9923,2.45,-0.34,10.2,0,2.19722457733622,3
3.0422544209786,10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,-1.31,11.7,0,2.484906649788,2
1.1248978136637,8.8,0.2,-0.59,92.4,0.053,167,214,1.026,0.86,0.79,8.8,-2,2.19722457733622,1
1.19654574263917,6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,-1.13,9.4,-2,1.94591014905531,1
5.45885529773063,6.5,0.62,1.82,8,-0.179,35,431,0.97319,2.68,0.47,7.4,2,1.94591014905531,2
4.06994058050696,9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,2.07944154167984,2
3.56779953589376,0.3,-0.87,-0.8,69.5,0.54,170,83,0.98867,3.09,-0.44,11.7,0,1.94591014905531,2
1.56276642519587,6,0.25,0.28,-37.7,-0.468,37,132,0.99489,4.01,-1.96,9.4,-1,1.94591014905531,1
4.64824600240433,9,0.35,1.5,51.9,0.252,282,150,0.9912,3.35,-0.31,11.63333333,1,1.79175946922805,2
3.40804394488924,8.7,0.31,0.27,5.6,-0.331,91,107,0.96927,3.65,0.52,13.3,0,2.19722457733622,2
1.92087151402652,-0.1,0.32,0.37,1.8,-0.286,13,-184,0.9945,4.55,-0.16,10.5,0,1.94591014905531,1
1.58531755616313,6.6,0.24,0.35,-13.7,0.031,36,135,0.9938,3.24,-1.81,14.5,-1,1.94591014905531,1
1.8568796851316,7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.64,0.5,9.6,0,2.07944154167984,1
1.45949043080141,7.4,-1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,2.07944154167984,1
3.53492648219428,10.6,0.34,0.35,64.2,-0.657,-229,179,0.998,2.87,-2.56,8.3,0,1.94591014905531,2
4.43793796954081,4.6,0.24,-0.66,1.3,0.043,71,462,0.95428,3.19,-1.32,14.7,1,2.07944154167984,2
2.59606410641996,3.9,0.53,1.21,2,0.058,243,-144,1.01599,3.21,-0.86,12.4,-2,2.07944154167984,3
3.38816881504748,16,0.43,0.34,42.2,0.068,-166,104,1.0247,3.19,2.03,9.3,0,1.94591014905531,2
4.26074790358513,15.8,0.86,0.38,41,0.625,7,132,0.98895,3.28,-0.07,12.4,0,1.79175946922805,3
2.35432764404921,-14.7,-0.42,0.31,22.3,0.035,-201,99,0.98914,3.26,-1.28,7.75,1,1.94591014905531,1
1.57229495915171,13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,1.94591014905531,1
4.93313193849904,6.7,0.41,0.15,41.1,0.033,25,-30,0.94975,3.05,-0.4,0.1,1,1.94591014905531,3
1.40208512298604,0.5,0.98,0.53,2.1,-0.487,152,-149,1.01881,2.19,-0.8,6.3,-1,2.19722457733622,1
2.00461712716401,5.8,-0.49,1.78,62.3,0.044,-208,152,0.9961,3.31,-2.01,9.4,0,1.79175946922805,1
1.03175501995429,2.8,0.46,0.44,-66,0.052,4,8,1.05282,3.33,1.67,6.9,-2,2.39789527279837,1
4.31334750171593,12.5,0.43,1.78,3.6,0.048,7,45,0.96801,3.57,0.79,6.4,1,1.94591014905531,2
4.65726684125131,7.4,0.18,0.29,52.2,-0.171,260,366,0.96443,3.54,0.6,10.5,0,2.07944154167984,4
3.91718511023656,7.1,-0.49,-1,46.7,0.033,16,78,0.993,2.91,0.6,5.4,0,2.07944154167984,3
1.73346335188971,3,-1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,2.39789527279837,1
2.83505685855417,8.1,0.24,1.86,11,0.043,41,586,0.98863,3.41,-1.38,10,2,2.19722457733622,1
1.51646275291847,17.1,0.41,0.66,-10.4,-0.983,77,194,0.9976,3.05,0.46,8.7,-1,2.07944154167984,1
1.48518607341594,7.7,-0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,2.07944154167984,1
1.87971298124493,12.4,0.27,1.42,1.6,0.04,-47,86,1.01383,2.82,-0.22,7.8,0,1.94591014905531,1
3.24899815722432,0.6,2.09,-0.56,2,0.054,225,16,1.01003,2.97,0.63,9.6,0,2.07944154167984,2
1.77305778687342,6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,2.07944154167984,1
4.6795491328071,-5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,1.94591014905531,4
4.35454391298516,7.5,-1.17,0.32,19.8,0.036,25,437,0.9962,2.06,0.03,9.7,1,2.07944154167984,2
4.7146185158235,7.3,0.3,0.29,2.1,0.048,-3,-261,0.98956,5.01,1.36,12.6,0,1.94591014905531,4
1.49013074755768,6.3,1.24,0.32,-18.9,0.04,155,-287,1.02361,3.24,2.18,11.3,-1,1.94591014905531,1
1.950484653454,10.9,-0.98,-0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,1.94591014905531,1
4.17481725868995,1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,-0.39,11.7,0,1.94591014905531,3
2.99972048294744,-4,-1.1,1.35,2.4,-0.808,35,115,0.98936,3.19,0.44,18.8,-1,2.07944154167984,2
1.6422971047668,0.2,0.43,0.11,1.1,0.029,-233,51,0.93069,2.57,0.48,15.5,-1,1.79175946922805,1
2.95837328300774,15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,2.35,9.1,-1,2.19722457733622,3
3.49394259720186,6.8,0.25,2.5,-2.6,0.547,92,123,0.9951,3.03,-2.71,8.6,0,1.94591014905531,2
3.27649618352251,-3.2,1.92,0.42,5.5,-0.334,29,-636,0.9973,3.42,1.31,10.5,0,2.07944154167984,2
2.1564561840903,6.8,0.18,0.3,138.2,-0.195,88,443,0.99808,3.6,0.8,3.6,-2,1.94591014905531,2
4.60656075874513,17.5,0.34,-1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,2.39789527279837,3
1.79913007350117,7.2,1.74,-0.92,-41.4,0.787,46,121,1.00183,3.44,0.61,9.5,0,1.94591014905531,1
1.52147113362842,9.5,0.88,1.43,6.4,0.057,25,-86,0.97526,3.23,0.45,10.5,-1,1.94591014905531,1
3.48277022800735,12.7,-0.25,0.32,50.1,-0.515,-211,102,0.97956,3.41,0.79,6.1,0,1.94591014905531,2
3.59957335513794,6.2,-1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,1.94591014905531,2
1.83739985705428,9.1,0.55,0.45,23.9,0.049,-161,228,0.9974,2.11,0.5,6.1,0,1.94591014905531,1
2.03107329346793,-4.4,-0.05,1.46,-9.7,0.047,46,144,0.98881,2.31,-1.28,17.9,0,1.94591014905531,1
3.31918325830728,2.3,-0.03,-1.13,2.1,0.227,8,-266,1.0343,4.09,0.74,11,0,2.07944154167984,2
6.87495493567666,0.5,0.23,0.31,-46.7,-0.286,312,96,0.98613,2.56,0.91,15.6,2,1.94591014905531,3
6.34167478396682,8.4,-0.44,0.56,2.2,0.026,108,104,0.96778,3.38,-1.43,17.1,1,1.94591014905531,4
2.69644009854498,6.8,0.56,0.41,-61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,1.94591014905531,2
1.53827957626941,10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.64,14.4,-1,1.94591014905531,1
3.36255336368948,6.7,1.62,1.33,1.3,0.639,127,150,0.9968,3.22,0.51,9.9,0,1.94591014905531,2
4.16593785932415,7.1,0.32,0.29,43.2,-0.1,20,31,0.99463,3.27,0.64,7.8,1,2.07944154167984,2
1.60997573687203,6.6,-1.14,0.86,-7.9,0.169,-55,-193,0.99734,3.25,0.48,16.2,-1,1.94591014905531,1
3.3050238223166,8.3,-0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,2.19722457733622,2
5.29669308255272,-1.7,0.01,0.25,-49.4,-0.319,58,54,0.96419,3.27,0.32,15.5,1,2.07944154167984,3
4.77967309529066,-1.7,2.38,0.24,-44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,2.07944154167984,3
4.16730297634968,7.4,-1.2,-1.02,2.7,-0.355,30,107,0.98127,3.31,0.09,9.9,0,2.07944154167984,3
1.39371095441063,9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,-0.56,10,-1,2.30258509299405,1
1.52771061195901,8,-1.14,-0.73,65.5,-0.034,41,103,0.99002,3,-0.77,16.4,-1,2.19722457733622,1
1.88246265066267,0.2,0.26,0.26,-40.2,0.036,578,214,0.9986,4.65,0.5,10,0,2.07944154167984,1
1.61427045730514,15.5,0.2,1.37,-42,0.015,-82,-307,0.98493,4.2,0.55,12.05,-1,1.79175946922805,1
1.65290335913184,4.8,0.75,0.28,-24.8,0.134,-239,322,0.96924,3.38,0.45,11.3,-1,1.6094379124341,1
5.51643485248382,8.2,0.22,0.3,1.8,0.432,-173,185,0.9933,3.08,0.5,14.4,1,2.19722457733622,4
2.30201426992671,7.3,-1.09,0.26,61,0.09,7,135,0.9944,3.01,-0.89,5.6,1,2.07944154167984,1
3.33084742148402,-0.4,0.21,0.41,-38.6,-0.43,14,543,0.96566,2.96,0.53,13.4,0,2.30258509299405,2
1.45893207002706,7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.67,12,-1,2.07944154167984,1
2.37961328752922,9.4,2.085,0.2,2.4,0.355,-144,143,0.97286,3.28,0.58,6.8,-1,2.30258509299405,2
4.38048178594308,3.4,0.42,-0.03,2.4,0.061,19,74,0.99184,4.46,-0.27,10.9,1,1.94591014905531,2
2.27551262047011,6.7,0.42,0.46,9.7,0.054,67,-228,1.00612,2.22,0.5,9,1,2.07944154167984,1
3.39599777983433,7.2,0.31,0.26,37.9,0.05,37,157,0.99625,2.7,0.01,11,0,2.07944154167984,2
